Life expectancy,percentage expenditure,Hepatitis B,Polio,Total expenditure,Diphtheria,GDP,Income composition of resources,Schooling
72.9,4.69118835299127,96.0,96.0,6.61,95.0,8.895235368467842,0.761,13.8
72.6,6.384367915564483,95.0,95.0,6.41,95.0,8.688436894236668,0.755,13.5
72.2,6.233685872487496,96.0,96.0,6.67,95.0,8.414969147440143,0.75,13.5
72.1,6.125428115050047,96.0,97.0,7.8,96.0,8.267369360785317,0.745,13.5
72.2,5.953625865788604,94.0,94.0,7.9,95.0,8.12639352903005,0.738,13.3
72.0,3.508141473700783,96.0,96.0,7.43,96.0,5.6075220568520505,0.729,12.9
71.8,3.5342055932013183,88.0,94.0,7.41,93.0,5.664815851619292,0.723,12.9
71.6,3.260502447268603,93.0,94.0,7.23,94.0,7.476457584904951,0.713,12.9
71.1,2.7872142089859837,94.0,94.0,6.7,93.0,5.137478554274313,0.709,12.9
59.3,2.239255387717432,91.0,91.0,4.96,91.0,4.3326579515071,0.398,7.7
59.0,4.4994807511311645,88.0,89.0,5.91,88.0,6.551727050163808,0.392,7.5
58.6,4.379145909742268,9.0,9.0,5.33,9.0,6.514449989702932,0.384,7.2
58.1,4.460790783724192,91.0,9.0,5.17,91.0,6.504052791045941,0.377,6.7
57.5,4.515903712105026,91.0,9.0,7.17,91.0,6.3568824519606615,0.365,6.3
56.9,4.408462203652408,92.0,91.0,7.41,92.0,6.31670528900203,0.356,5.9
56.1,4.689500616533524,93.0,92.0,6.77,93.0,6.346971045880456,0.345,5.4
55.3,4.316518387904356,89.0,93.0,6.63,89.0,6.165651482400419,0.334,4.9
54.3,4.178076641632535,76.0,94.0,6.58,86.0,6.048868074766195,0.325,4.7
59.1,3.7436419952249134,95.0,95.0,7.54,95.0,5.7485932375323365,0.404,10.6
58.6,3.717255143646774,96.0,96.0,8.3,96.0,5.6481130406765185,0.398,10.5
58.0,3.68214948483819,96.0,96.0,8.21,96.0,5.58456960852925,0.393,10.3
57.4,1.525182080821566,96.0,95.0,8.58,96.0,3.313457484820915,0.385,9.9
56.8,3.4701597176606813,96.0,94.0,8.82,96.0,5.4475746314113564,0.361,9.3
56.2,1.1087258646119145,94.0,96.0,6.96,94.0,3.255965499740733,0.336,8.6
55.3,2.8328692801671416,92.0,89.0,7.86,92.0,5.284458082823616,0.319,7.9
54.8,1.0030536329962132,99.0,93.0,1.3,99.0,2.933854210257899,0.309,7.2
54.1,3.1023039580006935,92.0,88.0,11.49,92.0,5.117271501313486,0.29,5.9
53.4,1.0106699140710311,87.0,82.0,9.84,87.0,2.8078557162746036,0.286,5.6
52.6,2.5036101004984532,83.0,76.0,7.1,83.0,4.855381398839467,0.279,5.2
73.0,6.028336932500572,97.0,95.0,4.76,95.0,8.169228327217466,0.643,13.5
72.8,5.7888276114452255,94.0,93.0,4.29,93.0,8.177458607040686,0.643,13.6
72.7,3.5426648247857813,94.0,94.0,4.61,94.0,5.856454238569088,0.636,13.2
72.6,1.6880925992830407,9.0,9.0,4.6,9.0,5.909249249611071,0.632,13.1
72.5,5.6625809994617065,98.0,99.0,4.83,99.0,8.105858687555354,0.627,12.7
72.4,5.831817186002527,98.0,99.0,4.24,99.0,8.144840737886252,0.621,12.4
72.4,5.890596377127087,98.0,99.0,3.96,99.0,8.199727823206128,0.615,12.2
72.3,5.847778091645557,96.0,98.0,4.3,98.0,8.043433946506317,0.602,11.9
72.1,3.3124146902755807,95.0,97.0,5.11,96.0,5.460818455886677,0.596,11.9
71.8,1.4701337672038364,93.0,95.0,4.86,95.0,5.517993272523616,0.582,11.2
71.4,5.485376495802425,91.0,94.0,5.6,93.0,7.589567743670021,0.574,11.1
71.1,5.347519350669895,66.0,93.0,5.0,92.0,7.478690372602455,0.572,11.3
77.0,5.051183759370797,4.0,92.0,5.17,91.0,7.225856683313605,0.569,11.3
68.3,2.5786641581549805,88.0,87.0,5.68,88.0,5.29675175662015,0.553,10.9
67.8,2.278109447009718,83.0,66.0,5.93,83.0,4.863059591654147,0.546,10.8
67.4,2.0687248200780375,86.0,84.0,6.24,86.0,4.566888005075611,0.54,10.7
67.0,4.113917060262796,88.0,87.0,5.64,88.0,6.783881627876044,0.533,10.7
66.6,4.058443855117909,89.0,88.0,5.95,89.0,6.667837936041969,0.519,10.6
66.1,3.8990236746512323,92.0,95.0,6.36,94.0,6.605612713615006,0.52,10.5
65.6,3.9908358579397625,91.0,91.0,5.55,91.0,6.6157810581594525,0.511,10.5
65.0,4.073038646423756,82.0,82.0,3.75,82.0,6.449958109259772,0.495,10.3
64.1,3.9608983314950104,8.0,8.0,4.48,8.0,6.293195876629739,0.483,10.1
56.7,4.133447262322372,87.0,86.0,4.1,87.0,7.273884579313888,0.507,10.4
56.4,4.160115161227421,89.0,88.0,4.29,89.0,7.219893977645109,0.501,10.4
55.9,4.2421665598338905,85.0,85.0,4.34,85.0,7.136203287952318,0.496,10.4
55.6,4.432965826243179,82.0,8.0,3.96,82.0,7.167539083077546,0.486,10.0
55.3,4.623979625138128,84.0,83.0,5.28,84.0,7.076543359174963,0.48,9.7
54.8,2.3068301591374585,8.0,79.0,5.7,8.0,4.821855970739881,0.473,9.2
54.2,4.24430510998003,84.0,82.0,5.18,84.0,7.118441005634588,0.466,8.8
53.6,2.147438091236219,82.0,81.0,4.76,82.0,4.724834650646435,0.456,8.0
53.3,0.6742176685076932,81.0,78.0,4.69,81.0,2.6382830299226074,0.456,8.2
52.8,4.304507724282633,79.0,79.0,4.75,8.0,6.859811367459906,0.456,8.3
82.0,4.636574050104193,55.0,91.0,1.45,91.0,6.301581368019077,0.912,15.9
81.8,9.183403615124176,55.0,91.0,1.67,91.0,10.866942769021335,0.909,15.9
81.6,9.184985254270252,7.0,99.0,1.78,95.0,10.868524540377669,0.907,15.9
81.5,6.880310120972011,7.0,87.0,1.82,87.0,8.572290585034615,0.903,15.9
81.2,9.065392621275244,56.0,88.0,11.2,89.0,10.76739968971841,0.898,15.9
81.0,6.763827089338973,42.0,89.0,11.17,91.0,8.471034976228431,0.898,15.9
87.0,9.040137504021365,28.0,89.0,1.3,92.0,10.749298650883041,0.897,15.8
85.0,8.980643341072765,14.0,9.0,9.83,94.0,10.70426701932794,0.894,15.8
85.0,6.649219973864813,14.0,95.0,9.75,95.0,8.386560332267662,0.891,15.8
81.0,8.753715323798911,14.0,93.0,9.57,93.0,10.496554374507971,0.886,15.8
80.0,8.615105423671169,14.0,91.0,9.56,91.0,10.372893251494673,0.881,15.8
79.7,8.452941682953254,14.0,88.0,9.54,91.0,10.246124634176265,0.877,15.8
58.0,3.9970926243084484,47.0,47.0,4.2,47.0,5.93524406562487,0.345,7.1
49.9,3.977392418966501,23.0,23.0,3.82,23.0,5.824479664186684,0.37,7.1
53.0,2.121639574704708,47.0,47.0,3.62,47.0,6.1891079969003675,0.366,7.1
49.8,4.086471561828187,47.0,47.0,3.73,47.0,6.205237892843812,0.361,6.8
49.2,3.795120401403063,45.0,46.0,3.9,45.0,6.103550159673676,0.352,6.6
48.6,3.724525741660742,42.0,45.0,3.58,42.0,6.111382721732008,0.345,6.4
52.6,2.5097672807828144,37.0,44.0,3.62,37.0,4.844175393476843,0.39,7.3
52.2,4.350585312985233,39.0,46.0,3.42,39.0,6.894803536094847,0.387,7.3
51.8,4.074554540146475,4.0,51.0,3.0,4.0,6.881896374888158,0.381,7.3
51.6,4.2306613142748,33.0,4.0,3.17,33.0,6.897943665440278,0.37,6.7
51.2,3.7971347800624757,39.0,43.0,2.95,39.0,6.799690815505648,0.36,6.7
57.0,1.788905467269499,24.0,32.0,3.31,24.0,4.448000909779522,0.343,6.3
49.6,3.913860960154091,17.0,3.0,2.92,19.0,6.836014769406788,0.338,6.0
83.0,7.7638711140733925,95.0,95.0,7.79,95.0,9.603623431320266,0.841,16.2
81.0,7.8010729611099405,9.0,9.0,7.53,91.0,9.676737331250031,0.831,15.6
79.9,7.723906350341061,9.0,9.0,7.24,9.0,9.644258771797874,0.826,15.5
79.8,5.359479693187084,94.0,93.0,7.0,94.0,7.29756001439958,0.82,15.4
79.1,5.184546663645648,92.0,92.0,6.97,92.0,7.160207224489383,0.815,15.2
79.3,5.206892206770892,94.0,94.0,7.39,94.0,7.126351097015488,0.816,15.3
79.6,5.491221637119714,95.0,95.0,6.87,95.0,7.485697422988572,0.804,15.2
78.9,5.349426684637986,92.0,95.0,6.35,96.0,7.331634770175489,0.797,14.8
78.9,7.15202577637361,95.0,94.0,6.18,94.0,9.157538701297717,0.796,14.9
75.8,4.70839794162928,99.0,99.0,5.55,99.0,8.946963689186171,0.723,13.1
75.6,2.393844537089538,99.0,99.0,5.39,99.0,6.657723379338236,0.713,12.7
75.4,4.558439693537841,99.0,99.0,5.26,99.0,8.754457847839635,0.703,12.4
75.2,4.52469194287443,99.0,99.0,5.3,99.0,8.636716251906542,0.7,12.8
75.0,1.8962328173190863,99.0,99.0,4.89,99.0,6.125804178332173,0.691,12.5
74.9,3.937368853004323,99.0,99.0,5.8,99.0,8.25308031493748,0.682,12.2
74.5,3.694491111272042,95.0,99.0,4.59,97.0,8.15255737133773,0.672,11.9
74.4,5.748317509383001,92.0,94.0,4.32,93.0,7.899660302198554,0.659,11.4
74.2,3.425676306056977,91.0,94.0,4.52,93.0,5.704547768410886,0.646,11.0
73.9,5.15132204117146,84.0,87.0,4.66,87.0,7.4698923429710415,0.634,10.6
73.5,0.9503769862245804,79.0,87.0,4.72,87.0,5.073099552938462,0.622,10.2
73.1,4.819769619260286,75.0,87.0,4.82,86.0,7.162120655937893,0.61,9.9
72.7,4.676178692184533,7.0,86.0,4.79,86.0,7.047156895578193,0.6,9.7
72.2,2.7233095140077928,65.0,86.0,4.56,86.0,5.038136317131263,0.592,9.6
71.7,2.9156373060566003,6.0,86.0,4.6,85.0,6.867320897871764,0.583,9.5
74.6,7.269956354192272,9.0,9.0,7.2,9.0,8.976437070607448,0.72,13.6
74.4,2.7826971358942347,91.0,91.0,6.84,91.0,4.437772314964438,0.712,13.3
74.3,7.305790562171593,92.0,91.0,6.93,91.0,8.97284233992383,0.707,13.2
74.2,5.2220158615901004,85.0,85.0,6.64,85.0,8.885819981838692,0.7,13.0
73.6,4.7383333135613634,88.0,88.0,6.76,88.0,6.440396852101794,0.695,12.8
73.6,6.848691243598249,92.0,92.0,7.1,92.0,8.546639776293688,0.691,12.4
73.5,6.886603560271232,92.0,92.0,6.62,92.0,8.600564108298128,0.683,12.2
73.5,6.661336287629622,93.0,93.0,6.25,93.0,8.450031416020547,0.675,11.9
73.1,4.150048985808122,93.0,94.0,6.11,93.0,5.942242159543475,0.669,11.5
73.1,6.278485434024774,93.0,93.0,5.82,93.0,8.12777543307341,0.658,11.1
72.8,3.765367331937069,89.0,89.0,5.37,89.0,5.617677748352778,0.658,11.3
72.4,6.037402766918865,92.0,92.0,5.92,92.0,7.717465850400701,0.659,11.6
71.8,5.97857524403628,78.0,83.0,5.67,81.0,7.7650285860315735,0.656,11.5
71.5,6.004925011712411,8.0,83.0,5.96,8.0,7.781913387420392,0.653,11.4
71.4,6.169891407324531,78.0,82.0,5.91,79.0,7.813267260682573,0.65,11.3
63.2,4.315697834876713,88.0,87.0,6.75,87.0,6.749877771986943,0.497,11.1
62.9,4.1363568215360855,88.0,85.0,6.51,87.0,6.727841160781003,0.49,10.9
62.5,4.374373495343443,89.0,85.0,7.11,86.0,6.671567841114276,0.484,10.8
62.2,4.105278727433342,83.0,85.0,6.1,83.0,6.72233936580174,0.479,10.6
61.8,3.8775189011506535,74.0,82.0,5.82,74.0,6.646616837676344,0.476,10.5
61.3,4.060262386303808,83.0,84.0,3.82,83.0,6.65871095479262,0.465,10.3
61.0,4.547200864757481,81.0,81.0,5.13,81.0,6.680823549071061,0.461,10.2
66.0,2.3113107330313496,75.0,75.0,4.93,75.0,4.30080726521364,0.459,10.0
63.0,4.357072809157884,69.0,69.0,4.57,69.0,6.4760291027750885,0.451,9.9
60.0,4.2622226387209885,68.0,67.0,4.32,68.0,6.434440124684784,0.434,9.7
59.8,2.1056099873755114,77.0,73.0,3.96,76.0,6.425549057783899,0.6651734296831573,9.5
59.6,3.830598357564976,28.0,8.0,3.65,8.0,6.301824752007806,0.6651734296831573,9.2
79.5,5.9545746912749955,91.0,91.0,9.31,91.0,7.407585750999655,0.768,13.9
79.4,5.958780992080036,94.0,95.0,9.47,95.0,7.359255209583491,0.762,13.7
79.2,7.851364269614031,91.0,9.0,9.56,91.0,9.208976401190812,0.758,13.6
79.0,7.795998221399731,84.0,82.0,9.73,85.0,9.125609634894628,0.752,13.4
78.1,7.774019408191727,89.0,93.0,9.66,88.0,9.011939995510637,0.749,13.3
79.2,3.2537487805914926,87.0,8.0,9.69,86.0,6.537265670461098,0.747,13.1
78.9,7.5283831745256276,89.0,89.0,9.1,9.0,8.841034005891787,0.74,12.9
78.9,5.023150964653285,89.0,89.0,8.37,89.0,6.419381414253076,0.734,12.8
78.0,7.078689197040649,88.0,89.0,7.82,89.0,8.565256876906782,0.727,12.6
78.6,6.911581223712726,9.0,91.0,7.74,91.0,8.454915866513119,0.723,12.4
77.7,6.950918163480274,89.0,9.0,7.8,9.0,8.39538135176684,0.719,12.2
78.0,6.976599205110612,86.0,88.0,8.45,88.0,8.335362914724449,0.715,12.1
78.3,4.735754266426956,94.0,94.0,8.23,94.0,6.138050220005051,0.712,11.9
77.5,6.767770374947875,8.0,92.0,7.25,91.0,8.289672190534546,0.708,11.7
77.6,4.5557508670322875,89.0,8.0,7.12,88.0,5.964513840002609,0.702,11.6
77.8,7.541735518136898,95.0,95.0,7.8,95.0,9.508106548758803,0.82,15.1
77.7,7.549665681978479,96.0,96.0,7.83,96.0,9.516040318234014,0.817,14.9
77.1,7.524406471731891,98.0,96.0,7.8,96.0,9.490769523219626,0.815,14.6
77.0,7.557136887988333,97.0,96.0,7.8,96.0,9.584671420195702,0.808,14.5
76.6,5.3369937883324114,97.0,97.0,8.25,97.0,7.21284436152924,0.803,14.2
76.3,7.678502277635281,97.0,96.0,8.18,96.0,9.558045296511425,0.803,14.2
76.0,7.794165559983372,97.0,96.0,7.7,96.0,9.673751417820007,0.8,14.3
75.8,7.611255075309407,95.0,96.0,7.44,96.0,9.513971975721692,0.793,14.3
79.0,2.6857433701036264,97.0,99.0,11.6,99.0,4.337550837723315,0.772,14.0
78.7,4.571362199866051,96.0,99.0,9.48,99.0,6.517897894203665,0.773,14.7
78.7,6.6109600733853675,96.0,98.0,8.59,99.0,8.768253983823174,0.778,15.7
78.8,4.63535576652036,96.0,99.0,1.6,97.0,6.51755953845751,0.78,16.5
78.0,6.669854392237591,96.0,99.0,1.19,96.0,8.644203115666468,0.784,17.6
78.1,6.7091544529281935,96.0,99.0,11.78,96.0,8.609913894144107,0.782,17.7
77.9,6.564723692021548,95.0,99.0,1.79,95.0,8.589969120880594,0.771,17.1
78.1,6.622356948937728,93.0,99.0,1.42,93.0,8.553620434732476,0.754,16.0
78.0,6.262392859057116,89.0,99.0,7.67,89.0,8.449062433916492,0.732,14.7
77.2,6.253705577251666,95.0,99.0,9.39,89.0,8.23763192246714,0.719,14.2
77.3,1.70188118275972,99.0,98.0,6.14,88.0,5.831050037059632,0.705,13.2
77.4,4.116455817356351,99.0,98.0,6.31,72.0,8.068925809954328,0.694,12.9
77.7,5.816418094551228,98.0,98.0,6.5,99.0,8.004813022637693,0.692,12.5
76.7,5.7794658941170285,98.0,99.0,6.27,98.0,7.949158173569652,0.686,12.3
76.9,3.9188015304290658,98.0,98.0,6.7,95.0,7.916484952598868,0.679,12.1
83.0,5.33899948056547,96.0,99.0,7.37,99.0,7.914209814390551,0.85,14.0
81.0,5.3616954923435225,96.0,99.0,7.46,99.0,7.93700582813985,0.85,13.8
80.0,7.678213534316695,96.0,99.0,7.44,99.0,10.273399938260368,0.85,13.8
79.7,7.801524301629109,96.0,99.0,7.54,99.0,10.38080311619051,0.847,13.8
79.5,5.650135626165055,96.0,99.0,7.23,99.0,8.247865367146872,0.853,14.6
79.3,5.443509834283796,96.0,99.0,7.4,99.0,8.076147298371147,0.849,14.1
79.1,5.483306170573426,93.0,97.0,6.89,97.0,8.1720935091832,0.844,13.7
78.9,7.580457823472367,93.0,97.0,6.5,97.0,10.35416922966161,0.836,13.5
78.8,7.439466199040777,93.0,97.0,6.28,97.0,10.209905233221667,0.829,13.4
78.7,7.354695497563893,88.0,98.0,6.37,98.0,10.13956654551665,0.826,13.5
78.6,7.370056931506214,88.0,98.0,6.42,98.0,10.083034065789327,0.823,13.4
78.5,5.073351780711603,88.0,98.0,6.83,98.0,7.738261037889359,0.815,13.0
78.4,7.029132634878868,88.0,98.0,6.12,98.0,9.703406720403725,0.805,12.5
78.2,4.623094769490951,89.0,97.0,5.78,97.0,7.354953537581851,0.8,12.4
78.1,6.858357862597394,89.0,97.0,5.77,97.0,9.593824498696753,0.798,12.5
63.0,3.2477740808417463,78.0,78.0,1.57,78.0,5.170001549134385,0.467,6.3
62.7,5.439994905604457,82.0,82.0,9.14,82.0,7.392424573456935,0.464,6.3
62.2,5.38546971885018,81.0,81.0,8.95,81.0,7.33768978777888,0.46,6.3
61.8,3.061508187243031,87.0,87.0,8.71,87.0,4.976643379717299,0.451,5.9
61.3,5.23907683796374,88.0,88.0,8.84,88.0,7.1906739544506175,0.441,5.5
69.0,5.183283327872219,89.0,89.0,8.37,89.0,7.134617850957996,0.436,5.3
62.0,5.151953386780345,88.0,89.0,8.5,89.0,7.103133870476994,0.427,5.0
59.8,3.0850603731598594,25.0,88.0,7.72,88.0,5.001169945353583,0.416,4.5
73.6,6.9932400306053575,89.0,9.0,4.38,91.0,8.743482529072075,0.712,13.2
73.4,4.590281044601201,8.0,82.0,4.12,83.0,6.443424234163893,0.709,13.2
72.1,6.754756423200802,74.0,85.0,4.26,85.0,8.694481564130047,0.706,13.1
73.1,6.7390853525950485,8.0,84.0,4.22,84.0,8.658804379404,0.703,13.0
72.7,6.500626574163996,83.0,85.0,4.6,88.0,8.60386060258974,0.697,12.9
73.6,6.378227221245279,8.0,85.0,4.41,82.0,8.507885515076413,0.695,12.9
73.3,3.9138696896567344,81.0,86.0,4.2,82.0,6.23906530769762,0.692,12.8
72.9,4.328385174976505,81.0,86.0,4.34,85.0,8.444259763983958,0.685,12.7
72.3,5.869170144929534,84.0,88.0,4.34,89.0,8.252568254012177,0.677,12.6
69.7,5.672435811299682,87.0,86.0,4.26,87.0,8.211374113350008,0.668,12.6
69.3,5.212847990064305,82.0,66.0,4.28,79.0,7.792747771070033,0.666,12.5
73.0,5.683646636191345,79.0,65.0,5.53,79.0,7.77217521374614,0.665,12.4
71.4,1.735822474446175,63.0,74.0,5.79,82.0,3.6754339673132104,0.66,12.3
71.2,5.831952839910649,66.0,71.0,5.59,72.0,7.959679385368199,0.656,12.3
72.0,3.8241198444446196,68.0,71.0,5.9,78.0,5.646944715283467,0.651,12.2
76.0,4.383478872291188,83.0,84.0,9.16,83.0,8.7692299311896,0.737,14.0
76.0,4.09648397271722,87.0,87.0,7.29,87.0,6.516167779865031,0.725,13.4
75.5,3.7584259717772217,88.0,85.0,6.48,87.0,6.351135476098184,0.717,13.3
75.3,5.845690565739161,88.0,85.0,5.92,88.0,8.561086004638767,0.71,13.2
75.0,5.9106030350556145,9.0,88.0,5.9,91.0,8.446410922054264,0.703,13.1
75.1,5.6459556254631105,91.0,91.0,5.58,94.0,8.356217942771028,0.702,13.1
74.6,5.292954550822937,93.0,94.0,5.66,96.0,8.36076219865051,0.698,13.0
74.7,3.0255181310844934,94.0,95.0,5.94,96.0,5.8880988737618605,0.696,12.9
74.4,3.0026995873552766,96.0,92.0,5.86,96.0,5.819449320168268,0.693,12.8
74.2,2.94933073918563,92.0,89.0,5.87,92.0,5.7774744343363515,0.688,12.8
74.4,2.8552743218955556,88.0,9.0,6.22,88.0,5.633209398159838,0.682,12.7
74.4,2.9581255633169725,82.0,97.0,6.46,87.0,5.503170584872369,0.679,12.6
73.6,5.238484296590505,75.0,88.0,4.62,88.0,7.689355911075553,0.675,12.5
73.4,2.7465488780090213,69.0,9.0,3.86,89.0,5.271673402684549,0.67,12.4
72.8,4.444711134425479,36.0,83.0,3.38,87.0,7.280902243231518,0.668,12.4
73.3,6.50237920486033,93.0,93.0,6.77,94.0,8.291489333061376,0.676,13.2
73.0,6.4841656621967925,92.0,92.0,6.95,92.0,8.267876207457386,0.675,13.2
73.0,6.384816177227938,92.0,93.0,6.7,92.0,8.2503031303842,0.67,13.2
72.0,6.31042416497151,89.0,9.0,6.81,89.0,8.226195529801794,0.666,13.0
72.0,6.15356302924265,89.0,89.0,6.91,89.0,8.153462685435299,0.662,12.9
71.4,6.034126064428251,91.0,91.0,6.83,91.0,8.121920602554036,0.662,12.8
71.7,4.006596527967122,98.0,98.0,6.21,98.0,5.881503671557972,0.659,13.4
71.2,3.9759686411563924,99.0,99.0,6.32,99.0,5.8166294070341324,0.657,12.9
75.0,4.073216704125358,96.0,96.0,6.68,96.0,5.897021353362606,0.651,12.9
71.0,6.09041061858544,89.0,89.0,7.19,89.0,7.95024904951952,0.644,12.7
70.0,5.990478641762986,9.0,9.0,7.3,9.0,7.876182729061957,0.636,12.4
69.9,5.994296276724529,94.0,93.0,7.61,94.0,7.832306751591264,0.628,12.0
73.0,3.4237835088765487,81.0,81.0,7.9,81.0,5.519108152278649,0.621,11.8
68.9,5.808459732746729,75.0,94.0,8.2,92.0,7.757808871990785,0.615,11.6
69.0,5.871185052639798,99.0,98.0,8.17,99.0,7.713968431771598,0.607,11.3
57.9,2.667559691218185,2.0,24.0,3.8,2.0,5.265780383425062,0.582,9.2
62.9,3.090129270624761,96.0,96.0,3.6,96.0,6.369516545928132,0.405,5.0
62.1,2.910032645300226,9.0,9.0,3.24,9.0,6.180327040260274,0.404,5.1
61.4,0.9459117442194458,92.0,92.0,3.3,92.0,3.8011908788832693,0.402,5.2
67.0,2.546763696954274,94.0,94.0,3.69,94.0,5.792481887777502,0.406,5.2
62.0,2.519618785879129,91.0,91.0,3.29,91.0,5.763086801266379,0.405,5.3
59.7,2.451237634004787,94.0,94.0,3.3,94.0,5.699870124719485,0.405,5.3
59.4,1.8024832579812375,96.0,96.0,2.97,96.0,5.626753687225344,0.6651734296831573,5.4
59.1,2.42134306746532,84.0,98.0,3.14,98.0,5.664425463121384,0.6651734296831573,5.0
58.8,2.068633091889155,91.0,95.0,3.5,93.0,5.4544427207076955,0.6651734296831573,4.7
58.5,0.5324690140532485,86.0,92.0,4.2,9.0,3.1253910943171115,0.6651734296831573,4.4
77.3,7.901404398965581,93.0,93.0,6.38,93.0,9.900606171341506,0.86,16.5
76.9,5.569456407504357,93.0,94.0,6.48,94.0,7.565676548530966,0.856,16.5
76.3,7.724934285003593,94.0,94.0,6.36,94.0,9.765540264179979,0.85,16.5
76.1,7.672267195067624,94.0,93.0,5.83,93.0,9.767429738050954,0.838,16.4
75.6,7.49721698078189,94.0,94.0,6.25,94.0,9.59148875717193,0.833,16.2
74.9,7.4489677374159875,95.0,95.0,6.93,95.0,9.597459434497786,0.836,16.1
74.2,5.420855132979774,94.0,95.0,6.6,95.0,7.547263521545431,0.835,16.1
73.0,7.552302739487019,95.0,95.0,5.16,95.0,9.716401784890985,0.829,16.1
73.0,5.502690164808676,95.0,95.0,5.1,95.0,9.44116764772696,0.822,16.1
72.8,5.040223392348797,95.0,96.0,5.2,96.0,7.199912239172405,0.812,15.9
72.3,4.626149729270404,9.0,95.0,5.13,94.0,6.787241773358138,0.805,15.7
64.2,4.510398504117725,77.0,75.0,4.88,77.0,6.349422650270685,0.435,8.4
63.7,2.2314415575220603,72.0,7.0,5.19,72.0,3.9731856227343454,0.427,8.4
63.3,4.475352019256497,69.0,7.0,5.77,69.0,6.151811523747876,0.422,8.4
62.6,4.230849811527373,65.0,7.0,6.55,65.0,5.874499048926749,0.411,8.2
61.8,4.230240259570023,62.0,69.0,6.86,61.0,5.8359794106227,0.401,8.1
68.0,4.0032072308131985,56.0,65.0,4.41,58.0,5.942160426948294,0.393,8.1
59.8,3.6777637196116606,52.0,63.0,4.28,54.0,5.788070172825727,0.378,7.6
58.5,3.44886050174959,47.0,61.0,4.69,5.0,5.498506763477356,0.362,7.1
69.7,3.9423481935326588,99.0,99.0,4.49,99.0,6.305130105931024,0.727,15.2
69.6,6.1348043866035376,99.0,99.0,4.26,99.0,8.46898766391348,0.719,15.0
69.4,6.069548770664439,99.0,99.0,4.16,99.0,8.422385364211713,0.714,14.9
69.2,5.9984230417803,99.0,99.0,4.6,99.0,8.378878121975427,0.709,14.7
69.1,4.144458220504152,99.0,99.0,4.23,99.0,8.203294933953504,0.706,14.6
68.9,4.121484331900709,99.0,99.0,4.26,99.0,8.122811179271215,0.704,14.5
68.7,4.40728690453101,99.0,99.0,3.68,99.0,8.337745370844111,0.7,14.3
68.6,1.9300023193811484,99.0,99.0,3.74,99.0,6.173417848604277,0.698,14.2
68.5,3.9726318793558777,99.0,98.0,3.84,98.0,8.229761704365313,0.695,14.0
68.3,4.1804004533387875,99.0,97.0,3.61,96.0,8.205119601840295,0.699,13.9
68.1,3.8065408077006904,99.0,96.0,3.61,95.0,8.111903627799236,0.691,13.4
68.0,5.540556120482781,99.0,95.0,3.35,94.0,7.950493260286681,0.689,13.3
67.9,5.3330650424929305,99.0,94.0,3.48,93.0,7.723366946751009,0.687,13.3
67.8,3.077861091477982,98.0,92.0,3.28,91.0,5.480187692385948,0.683,13.2
67.7,3.4737768054188765,98.0,91.0,3.87,9.0,5.624500422055673,0.681,13.1
82.2,8.815915733867884,83.0,98.0,11.54,98.0,10.667937268887071,0.89,16.2
82.0,8.802064407359653,74.0,99.0,11.56,99.0,10.658555514534577,0.887,16.2
81.5,6.623240658586851,78.0,99.0,11.44,99.0,8.484513871820873,0.885,16.1
81.7,6.529300666024687,74.0,99.0,11.33,99.0,8.38532624140969,0.882,16.1
81.3,4.3013603725264895,65.0,99.0,11.2,99.0,6.161930245976346,0.879,16.0
81.1,8.766605844691108,51.0,98.0,11.28,98.0,10.63662753777343,0.879,16.0
89.0,8.854206128261305,47.0,98.0,1.57,98.0,10.72359017553899,0.877,16.1
89.0,4.1856641985703416,42.0,99.0,1.45,98.0,6.034485649816341,0.873,16.1
86.0,8.64663984074937,39.0,99.0,1.53,99.0,10.506315672657083,0.87,16.1
81.0,8.603866402484217,35.0,98.0,1.6,98.0,10.4596897014873,0.86,15.5
82.0,8.573995890463847,35.0,99.0,1.53,98.0,10.430454478236959,0.857,15.5
79.3,8.428021365172238,28.0,96.0,1.43,97.0,10.298639043670711,0.852,15.4
79.2,8.237652626235302,29.0,97.0,1.22,97.0,10.09725348031494,0.851,15.5
79.0,8.14676266577188,28.0,98.0,9.89,97.0,10.022528363528043,0.849,15.6
78.8,8.134844165339144,26.0,98.0,9.77,97.0,10.019786903187168,0.844,15.7
65.5,6.574073516823081,7.0,68.0,3.44,7.0,9.179176160777015,0.687,12.6
64.6,5.049060100214931,79.0,77.0,3.98,79.0,9.177893933006875,0.678,12.5
63.5,6.692570631897196,82.0,8.0,3.13,82.0,9.187601918697158,0.669,12.5
62.8,4.901730484100526,75.0,75.0,3.12,75.0,7.44846536069596,0.664,12.5
62.3,4.985784262624943,67.0,68.0,3.41,67.0,9.077393194493327,0.66,12.5
61.7,3.9761401145341386,79.0,74.0,3.43,76.0,6.639434206911959,0.652,12.4
61.6,2.48941519932043,82.0,81.0,2.54,82.0,5.274406773100972,0.651,12.4
61.6,6.303422603848225,75.0,78.0,2.86,81.0,9.030473852310893,0.645,12.4
61.4,3.726589366004589,52.0,44.0,2.88,45.0,6.591368260116815,0.646,12.4
65.0,5.869985384839794,28.0,44.0,2.76,45.0,8.816155494368937,0.64,12.4
